uc_id,eng,phy
4,260,-25.0889
4,180,-17.56
4,100,-9.85
4,50,-4.95
5,180,17.62
5,100,9.87
5,50,4.96
6,180,-17.53
6,100,-9.87
6,50,-4.96
7,180,-17.59
7,100,-9.87
7,50,-4.96
8,180,17.56
8,100,9.86
8,50,4.96
9,180,17.56
9,100,9.87
9,50,4.96
10,180,-17.62
10,100,-9.9
10,50,-4.98
11,180,-17.55
11,100,-9.91
11,50,-4.98
12,180,17.7
12,100,9.92
12,50,4.99
13,180,-17.6
13,100,-9.89
13,50,-4.97
14,0,-0.08300626
14,50,-28.19263554
14,100,-54.53542886
14,150,-66.99082248
14,170,-69.53236141
14,180,-70.41851561
14,186,-70.82774732
14,192,-71.18159332
14,196,-71.40620889
14,200,-71.59697871
15,0,-0.09389143
15,50,-28.12800752
15,100,-54.49144387
15,150,-66.91716203
15,170,-69.47716249
15,180,-70.37716214
15,186,-70.80573436
15,192,-71.16573584
15,196,-71.38287812
15,200,-71.58859139
16,0,0.08188309
16,50,28.19692309
16,100,54.56923078
16,150,66.97846156
16,170,69.51692312
16,180,70.39384616
16,186,70.81076926
16,192,71.17230771
16,196,71.39076924
16,200,71.59076926
17,0,0.0613418
17,50,28.15233634
17,100,54.45236061
17,150,66.95391309
17,170,69.50776347
17,180,70.38776091
17,186,70.80929562
17,192,71.16622195
17,196,71.37545575
17,200,71.57237045
18,0,0.07758058
18,50,28.20857291
18,100,54.58857373
18,150,67.00286021
18,170,69.54857435
18,180,70.41143157
18,186,70.82571736
18,192,71.19428865
18,196,71.40000344
18,200,71.59428979
19,0,0.0571693
19,50,28.13201713
19,100,54.4657516
19,150,66.95718738
19,170,69.51718841
19,180,70.40861798
19,186,70.831473
19,192,71.19432961
19,196,71.41433463
19,200,71.61719138
20,0,0.07732946
20,50,28.25200552
20,100,54.55693389
20,150,66.99385843
20,170,69.53539676
20,180,70.41847496
20,186,70.83693623
20,192,71.20001331
20,196,71.41847472
20,200,71.61539787
21,0,0.06174236
21,50,28.06802266
21,100,54.34861419
21,150,66.93719628
21,170,69.51148504
21,180,70.41148555
21,186,70.84291481
21,192,71.21148645
21,196,71.43148733
21,200,71.63148796
22,0,0.06849648
22,50,28.19919441
22,100,54.57724538
22,150,67.0258405
22,170,69.57727416
22,180,70.4629886
22,186,70.88584698
22,192,71.24584765
22,196,71.46299263
22,200,71.66299211
23,0,0.05381865
23,50,28.15816153
